,S3KO_126_Proteins_norm,S3KO_127C_Proteins_norm,S3KO_129N_Proteins_norm,S3FL_127N_Proteins_norm,S3FL_130N_Proteins_norm,DFC_128N_Proteins_norm,DFC_129C_Proteins_norm,DKO_128C_Proteins_norm,DKO_130C_Proteins_norm,DKO_131_Proteins_norm
52,23695.611419094388,22752.521752350327,23415.708220688113,24653.175089887292,24994.57801445078,26764.16979512696,21171.26449537465,25355.6228429668,26280.648220718405,25997.84765706223
54,13896.560861644872,13643.541403656149,14219.464050006374,13779.281979214518,13534.383424428426,12067.882191634988,13876.802422095672,13108.193632126542,13046.194928031737,13236.783924785255
55,406.75056520822534,386.1799428593178,378.77198751940716,372.24694789611175,403.9126652008016,363.85529088208716,405.7227745457121,364.3301910832522,400.06149563660273,399.83262441124725
56,24856.416397719982,26232.780320506376,24553.65729040724,25092.92000125283,25178.21060056188,23923.192016604804,25285.197115256407,23860.275458388,24356.06310542521,24915.596076538404
58,160.24359519152998,165.49216477521148,119.10794893539278,140.85279147887437,159.7277524161644,127.00183435154963,94.38773152636152,115.94822069165342,144.26157673080488,153.67232539649362
59,8902.380281957065,8170.56024729149,8296.619872644123,8395.191225997505,8519.208583413532,8450.902444441708,8010.195573182317,8060.9840709478785,7876.1234001314815,7941.444282434352
60,15173.071279981612,15546.322597965189,15764.818919466123,15624.674380185183,15987.78984790417,14510.25293355697,15478.865615235076,16043.167313236121,15329.338900012697,15463.989188973079
63,25414.596691561514,25473.01222993368,25545.933201373573,26261.508498246272,26598.671379624615,27422.647678278743,24253.31287174564,26294.089057645502,26213.705262221607,27233.012687301576
67,27060.164330889398,26424.97087799704,28493.365005376272,27915.16059616083,28039.678462028456,27290.500780275423,27648.2613938271,27383.452814513435,26879.942336501215,27655.991019982423
71,18414.13629542364,20402.68449278468,19407.518878771763,19837.10418287956,19604.433137460772,19835.93539878496,18074.76901723942,19261.14257565471,20958.034541489378,21454.174376712446
72,22811.130533522883,20293.24001768162,20993.91917487561,22550.368691674048,23623.01348612769,20213.510859405098,19039.233452517077,22313.383319776607,21499.364635086436,21076.44400650946
74,11168.29410372331,10990.933009679104,10715.033830324088,10935.918266293327,10850.917671715055,9903.976736830655,10597.069536584015,10524.471622420306,11031.221853874016,10763.323502122557
75,16799.042130898124,16132.267110433026,17327.811346263654,17064.694943648137,16778.032284100405,16269.232852539664,15689.913693507668,18241.018040621602,18385.96835221076,18471.88780995914
76,16.315029586498664,19.692431506432484,22.21025738831821,23.13941564172374,21.632886690871988,23.197918570254625,15.049064337748966,17.47466074878947,18.75600029418487,20.48964338619915
