A	Coef.DKOvsDFC	Coef.S3KOvsS3FL	Coef.DKOvsS3KO	Coef.DFCvsS3FL	t.DKOvsDFC	t.S3KOvsS3FL	t.DKOvsS3KO	t.DFCvsS3FL	p.value.DKOvsDFC	p.value.S3KOvsS3FL	p.value.DKOvsS3KO	p.value.DFCvsS3FL	F	F.p.value	Res.DKOvsDFC	Res.S3KOvsS3FL	Res.DKOvsS3KO	Res.DFCvsS3FL
49	8.99159666766726	0.428144299659442	-0.318646163492238	0.181674648763567	-0.565115814388113	1.26393158009117	-0.940680394981527	0.59962914647093	-1.52293103423743	0.241258469164732	0.373951129906383	0.565072460698431	0.165645644350583	0.910373237559445	0.477241389878707	0	0	0	0
50	13.0995302100461	-0.0314352657547339	-0.0366202688037198	-0.0307773751083769	-0.0359623781573628	-0.600422444805205	-0.699457465895357	-0.657243601003107	-0.627043344779124	0.564568767611915	0.503766786443002	0.529172256705852	0.547816862224377	0.556665466137591	0.657946057011729	0	0	0	0
52	14.5775744548756	0.120361083401239	-0.0923199785717532	0.152191915940929	-0.0604891460320633	1.33384362177464	-1.02309160985034	1.88566881590239	-0.611935513953115	0.218380244120531	0.335714923444556	0.0954431059101034	0.557287836241466	1.32616512098709	0.331025537722058	0	0	0	0
54	13.7129565126679	0.0209596950646596	0.0273727755421316	-0.0840541749029633	-0.0776410944254913	0.321298044928779	0.419606260436023	-1.440580125335	-1.0864860348528	0.756082213139585	0.685632489171041	0.187049228257068	0.308397864983526	1.17673086543147	0.376702638019494	0	0	0	0
55	8.59923361330867	0.0130253039238788	0.00976403981472984	-0.00996089937473066	-0.0132221634838796	0.172137555890849	0.129037906458925	-0.147177467618039	-0.15951431612378	0.867533689787469	0.900460212109537	0.886573317364184	0.877152121781748	0.0308197845278987	0.992158282857528	0	0	0	0
56	14.5990150549304	-0.0130378803232851	0.00391426340628875	-0.0483287414791498	-0.0313765977495759	-0.238371035457671	0.0715643185913231	-0.987886351092707	-0.523674853377389	0.817486672634737	0.9446763602214	0.351669276588655	0.614463966551884	0.421355678376986	0.742744945654478	0	0	0	0
58	7.08912101054183	0.323248089256817	-0.0318018091584884	-0.0990913842876102	-0.454141282702915	1.69580485544812	-0.166836755344755	-0.581206964809443	-2.17490487754331	0.127728126883751	0.871569950008724	0.576841456165426	0.0607849973558117	2.07896149595718	0.180232399439317	0	0	0	0
59	13.0114061243153	-0.0478570736814703	-0.00109135931587545	-0.0864355758983812	-0.0396698615327864	-0.843918548788273	-0.0192451877895907	-1.70412689115692	-0.638593442775658	0.42282921766729	0.985109054403686	0.126121659472047	0.540640634164222	1.22812528813059	0.360213084839064	0	0	0	0
60	13.9187254952965	0.0587027955543284	-0.0287999533430394	0.0107906364518406	-0.0767121124455272	1.10043814098655	-0.539881735069715	0.226156418666975	-1.31274438680371	0.302626769096983	0.603735331144739	0.826657252023152	0.225081961749317	0.643852097632039	0.607857967462989	0	0	0	0
63	14.6693114409474	0.0433639512374562	-0.0529118043841841	0.0608986172470303	-0.03537713837461	0.707639573203793	-0.863447301350279	1.11108095323291	-0.52700573554067	0.498932517369276	0.412617071939441	0.298282336347367	0.612250811914369	0.508124651334932	0.687416969750029	0	0	0	0
67	14.7457355033676	-0.00865166435442788	-0.0346931664664734	-0.00042401343853804	-0.0264655155505835	-0.167185237168059	-0.670412654281923	-0.0091607892260276	-0.466861432928859	0.871304476718738	0.521163916290075	0.99291146813411	0.652844595390261	0.189609543832119	0.900586888164533	0	0	0	0
71	14.2659242306488	0.117104877302344	-0.0242945454953336	0.0827555622912008	-0.0586438605064767	1.59884151310546	-0.331695218634511	1.26323058739032	-0.730907404582947	0.147886958960626	0.748501329134173	0.241497726445138	0.485346800415073	0.977602338929465	0.449284390079931	0	0	0	0
72	14.3853306624105	0.140463935830926	-0.113102454912273	0.0190420317454283	-0.234524358997771	2.10598133711395	-1.69574957314115	0.319196393892984	-3.20986686426086	0.0677196242462681	0.127738861522572	0.757618031830899	0.012151425750966	3.49642555808008	0.0686324209501698	0	0	0	0
74	13.3910583542961	0.0722820775474755	0.00834065640024129	-0.0246316931261763	-0.0885731142734105	1.35349934240339	0.156180803540469	-0.515675732580851	-1.51404475961025	0.212291427658301	0.879695822921787	0.619795973550244	0.167845233690941	1.23260668893486	0.358815275773731	0	0	0	0
75	14.0609235929706	0.201049088606208	-0.0149882047480254	0.133235038063177	-0.0828022552910568	3.88957816924408	-0.289967959507975	2.88186645675142	-1.46235204945699	0.00446283132503876	0.77909279042781	0.0200928546855739	0.181164713905356	5.64074154070607	0.0219214255484921	0	0	0	0
76	4.29291092314064	0.014002597940638	-0.216766320169858	-0.0291858146823483	-0.259954732792844	0.074430262967512	-1.1522129165702	-0.173447386958976	-1.26138609749396	0.94246530823674	0.281958197744289	0.866536957271818	0.242128223978956	0.733995535732459	0.559960075467727	0	0	0	0
77	4.71415336078352	0.183569524839836	0.0741788055181827	0.231481022636314	0.122090303314661	0.806995810894461	0.326099799858162	1.13773493955605	0.489960699718138	0.442615691893783	0.752577569530841	0.287620116984613	0.637098105802636	0.725485037169443	0.564314693990407	0	0	0	0
78	13.4732746765275	0.00320322440584064	-0.0134592269369733	-0.0305656924211473	-0.0472281437639612	0.0673682883223357	-0.283066362516618	-0.718716132606083	-0.906730870257035	0.947914474709101	0.784193874872956	0.492435156357238	0.390608993975001	0.453992193316962	0.72155683895011	0	0	0	0
79	12.8867160026853	-0.17568681060841	0.1300139050088	-0.119507201872807	0.186193513744403	-2.29270302048889	1.69667416516333	-1.74364363524776	2.21810739176081	0.0505174582297554	0.127559435331002	0.11874624861284	0.0567995122398625	2.7126395754381	0.114028224531455	0	0	0	0
81	12.3765038358023	-0.0865017703437427	-0.00356521243948471	0.116729919177338	0.199666477081596	-1.51457940473587	-0.0624241251120506	2.28509490770161	3.1914025186507	0.167712159662571	0.951731243830578	0.0511252192763773	0.012496688823258	5.55005961327675	0.0228721155513232	0	0	0	0
83	7.68705140936593	0.209293544220166	-0.130405887354248	-0.121137587339332	-0.460837018913746	0.804191624686942	-0.501072896495246	-0.520400421349302	-1.61644320101616	0.444143918367484	0.62959149264049	0.616643705196176	0.14402396961198	0.976548567447392	0.449708330954901	0	0	0	0
84	4.44786234047371	-0.387739233921063	-0.0381661462430554	0.0729167615169803	0.422489849194988	-1.49367240756982	-0.147025925052847	0.314049415108298	1.48573469944417	0.172986724237257	0.886689167243198	0.761384091784919	0.175027694104812	1.21732671386591	0.363607308605969	0	0	0	0
86	12.3241846037469	0.0887124102567522	-0.00901775062438404	-0.019515534882002	-0.117245695763138	1.69861262124121	-0.172666541033572	-0.417777871817183	-2.04935055153811	0.127184015896897	0.867131121478693	0.68691602487869	0.0739913779623204	1.84621058437339	0.215823606248578	0	0	0	0
87	14.76496567417	-0.0877687982894351	-0.199137426888251	0.184389549908179	0.0730209213093627	-0.482970654405909	-1.09580551694194	1.13441484777729	0.36680671416953	0.641843036985676	0.304533434090422	0.288931324375251	0.723118628784372	0.889237104008436	0.486422361647893	0	0	0	0
89	11.73507565877	-0.070975004136951	-0.00276432631985379	0.0532548774970252	0.121465555314122	-1.13298150792718	-0.0441272338107577	0.950455507399594	1.77002708506482	0.28949887685433	0.965866666872559	0.369253185909135	0.11404803669547	1.57638468278241	0.268280137476019	0	0	0	0
90	9.22878652781874	0.537904692884267	-0.0125898944056573	-0.079179376201628	-0.629673963491552	2.51410856372349	-0.0588438096197231	-0.413757402287056	-2.68660492807847	0.0356714532527049	0.954495988444728	0.689742196892957	0.0272254675237199	3.46773457796499	0.0698489151106626	0	0	0	0
93	12.6208312292672	0.0222075612386856	0.107744069914295	-0.115920752433174	-0.030384243757565	0.249567059961901	1.21082051594205	-1.45647351738951	-0.311705311626766	0.809106915916942	0.25995571698058	0.182737241504198	0.763101525537227	1.09494708136021	0.404766709178319	0	0	0	0
