,S3KO_126_Acetyl_norm,S3KO_127C_Acetyl_norm,S3KO_129N_Acetyl_norm,S3FL_127N_Acetyl_norm,S3FL_130N_Acetyl_norm,DFC_128N_Acetyl_norm,DFC_129C_Acetyl_norm,DKO_128C_Acetyl_norm,DKO_130C_Acetyl_norm,DKO_131_Acetyl_norm
710,88.2324301200876,37.68071028634677,44.856010019544634,35.237201412915404,41.487727900302446,12.00514852079325,29.134988557881996,64.7331772392264,71.0333628162746,71.42917347133313
711,43.22545195043612,34.65110543920331,47.57785528772089,22.755358950574795,21.23776547277387,22.02448300055303,19.262802352318676,78.80082865963554,77.11908631598352,81.19969786382624
712,63.291063051072406,75.74012117858648,57.92086730679064,22.08325974106415,21.3365457772984,23.017390021069765,14.447101764239008,73.52545937698213,99.46666113458677,104.53512505366417
713,64.8850601945809,46.29614907041098,52.803798202619284,22.851373123362034,18.274356337037982,15.254662406120744,7.584728426225478,71.3273888425432,97.57110791336595,89.07303305389352
714,310.1730912191815,275.03131502974213,200.11006411631803,80.26784845012881,100.75591061502023,58.852307034264655,54.89898670410823,327.732316684844,436.47607067584465,482.6449330971355
715,503.3280391972691,426.41688223544185,305.17329146792133,134.03578521098066,139.3790096841113,97.75620938360217,52.3707438953664,533.4717187083277,762.810522602859,874.0350655575877
716,5.250814119792674,6.248559997233384,6.205807211441854,1.536226764595767,0.9878030452452963,5.596385024730688,6.741980823311536,10.221027985141014,8.380340556976217,10.055102772856989
717,11.064215466705992,23.85813817125474,23.952238359951014,5.47280784887242,6.124378880520837,0.09026427459243046,0.3611775441059752,44.95054242927606,50.88063909592703,45.72225977846291
718,7.594927566128688,9.278164844376844,10.778507261977957,2.3043401468936504,1.7780454814415334,2.166342590218331,1.4447101764239008,19.233117176340613,20.452021597382434,20.110205545713978
719,18.096555805714036,16.284126053396093,18.18192639141736,1.7282551101702377,4.543894008128363,6.499027770654992,3.49138292635776,30.992794535588875,33.92042606395135,34.43398402402912
720,28.03559681817874,19.787106657905717,31.682278921571573,4.992736984936243,2.4695076131132407,1.624756942663748,7.343943396821495,43.30198952844687,53.57431998924082,47.809167901131346
