A	Coef.DKO_TACvsDFC_TAC	Coef.DKO_ShamvsDFC_Sham	Coef.DKO_ShamvsDFC_TAC	Coef.DFC_TACvsDFC_Sham	Coef.DKO_TACvsDKO_Sham	t.DKO_TACvsDFC_TAC	t.DKO_ShamvsDFC_Sham	t.DKO_ShamvsDFC_TAC	t.DFC_TACvsDFC_Sham	t.DKO_TACvsDKO_Sham	p.value.DKO_TACvsDFC_TAC	p.value.DKO_ShamvsDFC_Sham	p.value.DKO_ShamvsDFC_TAC	p.value.DFC_TACvsDFC_Sham	p.value.DKO_TACvsDKO_Sham	F	F.p.value	Res.DKO_TACvsDFC_TAC	Res.DKO_ShamvsDFC_Sham	Res.DKO_ShamvsDFC_TAC	Res.DFC_TACvsDFC_Sham	Res.DKO_TACvsDKO_Sham
0	-8.4780667335012e-16	1.03275275585627	-0.0382172285353282	0.697139582918551	-0.735356811453879	0.335613172937715	2.71465789422196	-0.0898510025258377	1.63901708277388	-1.93293328143004	0.789046752080817	0.0240394493117763	0.930394175343955	0.135994768882291	0.0856178752306805	0.450581874828382	2.63289019474064	0.114501322619099	0	0	0	0	0
1	-1.13040889780016e-15	0.743006359389344	0.234114743662189	1.37124422899989	-1.1371294853377	-0.628237869610543	0.70675852769466	0.199183007115013	1.16664394881259	-1.08165421560588	-0.534499904171422	0.497792698664956	0.846593495206235	0.273647515832037	0.307827857766911	0.606081838046722	0.584614909649922	0.640165911473705	0	0	0	0	0
2	-1.89747207845027e-15	0.205649787644972	-1.53882630627883	0.264623826304449	-1.80345013258328	-0.0589740386594771	0.191151841882574	-1.27933657813194	0.220000749308203	-1.67631009267951	-0.0490293443187119	0.852694044376572	0.233107755935711	0.830831422093916	0.128356480663066	0.96197802512229	1.1742736040164	0.373057635551783	0	0	0	0	0
3	-1.47356874177521e-15	0.505303743844292	-1.98812387879971	-1.23405489399112	-0.754068984808585	1.73935863783542	0.56405960969475	-1.9850018762538	-1.23211702555047	-0.841750852701211	1.73662727780626	0.586637352344793	0.0787672723981671	0.249448306606841	0.421957863944668	0.116827671712111	1.48466716919831	0.284042633510718	0	0	0	0	0
4	-2.1397025565503e-15	0.418731915628331	-0.399307086798404	0.501055268703351	-0.900362355501755	-0.0823233530750198	0.948638517709808	-0.8091270157044	1.01530217637632	-2.03977384681376	-0.166814091706816	0.367837905159572	0.439526078447836	0.336753687818026	0.0721266075325987	0.871242916460059	1.39617490998567	0.306651832777883	0	0	0	0	0
5	-1.97821557115028e-15	0.630352972893673	-1.06757043117895	0.590939158296381	-1.65850958947533	0.0394138145972928	0.648830949273291	-0.982854617068334	0.54404586636656	-1.70712663791886	0.0362861770257584	0.532822396813536	0.351628447557489	0.599765408679884	0.122342104112925	0.971854608366966	1.00145591780691	0.436129351248489	0	0	0	0	0
6	-1.69561334670024e-15	0.245701769281202	-0.366744115891184	0.87987309212694	-1.24661720801812	-0.634171322845737	0.334871427361944	-0.447072500988713	1.07259270648143	-1.69903735347228	-0.773074596359952	0.745475486682452	0.665498919246681	0.311661022811362	0.123895390122967	0.459506986874303	1.17875027834184	0.371565497608278	0	0	0	0	0
7	-1.27171001002518e-15	1.83024682190673	0.0905161245350821	1.65674294044002	-1.56622681590494	0.173503881466704	2.85995762671653	0.126508842461715	2.31552811974901	-2.44739795403593	0.242495746693841	0.0189814233398211	0.902139679177852	0.0461138770480489	0.0371851343361178	0.813889173559675	3.43085802642436	0.0662791694217461	1	0	0	0	0
8	-4.44089209850063e-16	0.756384805906879	-0.0352401631763919	2.5743652852711	-2.6096054484475	-1.81798047936423	0.758040975821047	-0.0315887753996666	2.30762401371644	-2.61531940515024	-1.62961155304998	0.468013283269066	0.975496702409216	0.0467118371200619	0.0282668113478902	0.137985213085643	3.18463122795194	0.0779461717824993	0	0	0	0	0
9	-1.13040889780016e-15	0.112189601199977	-0.226130892578751	0.598139118432234	-0.824270011010985	-0.485949517232256	0.261304610159869	-0.471085089275505	1.24606778309908	-1.91983527519429	-1.01234983463846	0.799800948055162	0.648907182003206	0.24452510660133	0.0874281350276573	0.338087188043746	1.60684608017341	0.255936467464496	0	0	0	0	0
