,DKO_Sham_126_Acetyl_norm,DFC_Sham_127N_Acetyl_norm,DFC_TAC_127C_Acetyl_norm,DFC_Sham_128N_Acetyl_norm,DKO_TAC_128C_Acetyl_norm,DFC_TAC_129N_Acetyl_norm,DKO_TAC_129C_Acetyl_norm,DKO_TAC_130N_Acetyl_norm,DFC_TAC_130C_Acetyl_norm,DKO_Sham_131N_Acetyl_norm,DFC_Sham_131C_Acetyl_norm
30,15.136283028843762,13.85548565475558,13.016461061131398,14.689334141194912,21.35067910886627,12.803322392828097,29.182576449448426,20.320261541286104,9.899858289385236,22.118439233647184,37.86210523692391
35,54.35734345578483,20.783228482133367,38.957067856719505,20.952228542479563,47.98511213861359,25.086184525785132,45.75539764296235,38.202091697617874,20.42970756082226,82.65311503099737,493.81093959592755
40,13.517938302489396,21.49637847906932,28.9870125758529,25.62093164161903,17.684400878050848,19.152937563255037,29.182576449448426,17.430268788747636,11.7898312355406,34.07721259920763,511.62840088389174
62,1.1423609833089632,1.6300571358535976,5.538919600481446,10.248372656647613,6.254239334920422,2.8104854033037285,6.845295710364446,5.870297778593764,6.299909820517877,3.0690657309845375,28.507938060742706
63,8.282117128989983,8.659678534222238,5.261973620457374,6.035152786692483,7.7638833123150075,6.0373390145043055,7.2055744319625745,7.766855522447133,6.389908532239561,7.619749401065059,25.568056948228612
66,7.1397561456810195,8.659678534222238,8.954586687445003,9.792889427463274,15.20427148661689,6.557799274375366,11.889197812738248,7.676543248930306,7.1098982260130335,16.19196747726325,156.79365933408488
68,46.170423075403924,36.26877127274255,37.203076649900375,36.43865833474707,38.81941656157504,24.461632213939858,37.94935867500289,31.970544824956804,34.649504012848325,66.77863711211184,322.67422392503147
69,5.2358211734994144,2.8525999877437958,2.6771444735660324,3.416124218882538,7.33255646163084,1.977748987510031,7.806038967959456,4.696238222875011,1.2599819641035754,6.138131461969075,17.995635900843833
381,8.472510626208143,2.4450857037803964,1.7539912068191246,1.5941913021451841,2.4801293914339606,1.45728872763897,2.041579422389396,1.8062454703365427,0.7199896937734718,3.0690657309845375,33.49682722137268
389,34.366026247877976,24.756492750776513,31.20258041604548,31.769955235607597,39.14291169958816,33.51764073569632,42.032517519781685,31.42867118385584,37.979456346550634,37.88708729974015,87.48373492390418
446,9.138887866471705,5.807078546478442,6.923649500601807,2.73289937510603,11.322329830459386,6.0373390145043055,7.445760246361327,5.599360958043283,7.01989951429135,7.302259842687349,9.621429095500664
464,4.855034179063093,2.3432071327895465,5.723550253830828,5.124186328323806,5.822912484236256,3.0186695072521528,6.725202803165069,6.412171419694726,1.4399793875469435,9.524686751331323,10.42321485345905
472,4.664640681844933,4.890171407560793,2.2155678401925782,5.807411172100314,10.028349278406886,6.0373390145043055,5.76445954557006,1.6256209233028884,4.409936874362515,10.688815132049596,30.913295334617874
576,14.279512291362039,2.750721416752946,7.5698567873246425,8.42643973991026,11.537993255801469,6.24552311845273,11.889197812738248,8.399041437064923,5.309923991579354,13.546221157448995,8.730556031102454
589,14.184315542752959,9.169071389176487,11.354785180986966,13.095142839049727,11.322329830459386,10.61738930136964,14.170963049526398,16.07558468599523,12.599819641035754,11.958773365560441,15.412104014089026
618,6.282985408199297,2.648842845762096,5.169658293782683,3.074511796994284,2.8036245294470863,0.5204602598710608,1.92148651519002,2.7996804790216414,1.7999742344336793,2.8574060253993974,27.795239609224137
702,21.133678191215818,10.289735670075835,9.785424627517221,12.86740122445756,17.900064303392934,7.494627742143276,15.251799214320782,11.740595557187527,8.189882766673241,23.38839746715803,128.64207049910146
714,2.3799187152270065,9.270949960167336,2.861775126915414,0.34161242188825375,3.0192879547891693,4.475958234891123,4.80371628797505,1.4449963762692342,0.3599948468867359,8.783877781783334,62.53928912075431
722,28.749418079942238,18.643778491325524,27.50996734905785,19.699649662222633,19.733203418800645,16.654728315873946,22.937745275080864,25.648685678778904,19.52972044360542,42.755260528198384,245.97005308034568
