A	Coef.DKO_TACvsDFC_TAC	Coef.DKO_ShamvsDFC_Sham	Coef.DKO_ShamvsDFC_TAC	Coef.DFC_TACvsDFC_Sham	Coef.DKO_TACvsDKO_Sham	t.DKO_TACvsDFC_TAC	t.DKO_ShamvsDFC_Sham	t.DKO_ShamvsDFC_TAC	t.DFC_TACvsDFC_Sham	t.DKO_TACvsDKO_Sham	p.value.DKO_TACvsDFC_TAC	p.value.DKO_ShamvsDFC_Sham	p.value.DKO_ShamvsDFC_TAC	p.value.DFC_TACvsDFC_Sham	p.value.DKO_TACvsDKO_Sham	F	F.p.value	Res.DKO_TACvsDFC_TAC	Res.DKO_ShamvsDFC_Sham	Res.DKO_ShamvsDFC_TAC	Res.DFC_TACvsDFC_Sham	Res.DKO_TACvsDKO_Sham
30	4.14682672477565	0.979990973896062	-0.110363358723101	0.630851855747648	-0.741215214470749	0.349139118148414	2.54531994165779	-0.256383579647151	1.46552314894143	-1.92515024801917	0.81108021667162	0.0311576546785487	0.803352440639032	0.176432403353027	0.0859597149135104	0.438002098299919	2.35677315090609	0.139008437733121	0	0	0	0	0
35	5.4989809739835	0.69024457742914	0.161968613474414	1.30495650182898	-1.14298788835457	-0.614711924399842	0.661409000072927	0.138817095936126	1.11842824372564	-1.09523855898697	-0.526846049688346	0.52472890690614	0.892615902832979	0.292016510079588	0.301530140883638	0.610890899782031	0.566360549355729	0.650689438286453	0	0	0	0	0
40	4.79663884974643	0.152888005684769	-1.6109724364666	0.198336099133546	-1.80930853560015	-0.0454480934487771	0.143090233523135	-1.34855815634615	0.166028765067556	-1.69335965705659	-0.0380449694379368	0.889334907937645	0.210055832299956	0.871761831007901	0.12423751577677	0.97047276377616	1.24199310695761	0.35006175747101	0	0	0	0	0
62	2.29949922685515	0.452541961884089	-2.06027000898748	-1.30034262116203	-0.759927387825456	1.75288458304612	0.507365434439841	-2.06600398705135	-1.30396163033691	-0.851989255673821	1.75776307067339	0.623956427677435	0.0684445493428154	0.22424010494423	0.416061620488353	0.112263928201336	1.57286432808151	0.262061360558522	0	0	0	0	0
63	2.98111383332006	0.365970133668128	-0.471453216986177	0.434767541532448	-0.906220758518625	-0.0687974078643196	0.823528565591921	-0.948891640061324	0.875054556139025	-2.03923384100307	-0.138468214508453	0.431244312930765	0.367174504535957	0.404031260128969	0.0714868398393603	0.892883876590358	1.40345836290723	0.303458590312787	0	0	0	0	0
66	3.60872374830331	0.577591190933469	-1.13971656136672	0.524651431125478	-1.6643679924922	0.052939759807991	0.597559347654305	-1.05463537875781	0.485485584343289	-1.72190758353325	0.0489877444348932	0.564694644193288	0.318766687632796	0.638797992962203	0.118792536234413	0.961986616334033	1.0384536455613	0.4207654307385	0	0	0	0	0
68	5.52364939685719	0.192939987320998	-0.438890246078955	0.813585364956039	-1.25247561103499	-0.62064537763504	0.263857323479464	-0.536843661455173	0.99516485073758	-1.71283758768566	-0.759163686073087	0.797763452419199	0.604241115405685	0.345360647402215	0.120498330912205	0.466948614270405	1.20885700200639	0.360603847298223	0	0	0	0	0
69	2.11534530758381	1.77748503994653	0.0183699943473088	1.59045521326912	-1.57208521892181	0.187029826677403	2.79422984141725	0.0258291544011908	2.23626161745256	-2.47133862352757	0.262973530614413	0.0206788665447792	0.979950736996843	0.0518249323578563	0.0352003333639417	0.798423741116766	3.31728495902844	0.0701256526430195	0	0	0	0	0
381	1.43657480904995	0.771039544913992	0.00740709505535087	2.05696907036585	-2.0495619753105	-1.28592952545186	0.769853243194042	0.00661491400332821	1.83697838441355	-2.04640857168484	-1.14840071062133	0.460888463119736	0.994864739252382	0.0989981758857102	0.0706589910390234	0.280072094175878	1.87657942607111	0.203210090170509	0	0	0	0	0
389	5.21386605036228	0.126844340207091	-0.183483634347009	0.0807429035269793	-0.264226537873988	0.0461014366801118	0.309216436288372	-0.40006798991583	0.176051947242962	-0.644121671339983	0.100519641277451	0.764114439607282	0.69832815836212	0.864105747549712	0.535380389231908	0.922109956716718	0.143690263799497	0.931177883417341	0	0	0	0	0
446	2.76313944443431	0.228628137334208	0.612015446560374	0.297882179740356	0.314133266820018	-0.0692540424061487	0.527618028516793	1.26327332444535	0.614864565279409	0.724943031350669	-0.14294865411222	0.610376074262423	0.237872185856949	0.553694623020234	0.486694664181946	0.889443580041718	0.733598653530806	0.557435328239233	0	0	0	0	0
464	2.28251744825587	1.11175347208659	0.44306460198772	1.21995278646503	-0.77688818447731	-0.108199314378443	1.82100256632877	0.649103739272276	1.78726964843838	-1.27250817128413	-0.158515438233295	0.10155022561256	0.532297659179573	0.107141123853173	0.234719335315406	0.877510090013128	1.50366724204123	0.278127024512111	0	0	0	0	0
472	2.53220614060695	0.223947050452004	-0.43941392816297	0.859115552598116	-1.29852948076109	-0.635168502146112	0.261200985119625	-0.458403870488844	0.896243540013776	-1.51454184771396	-0.662618276606819	0.799748532991655	0.657405030978081	0.393196343120806	0.163795161076916	0.523988598227997	0.935145622595842	0.462585547527241	0	0	0	0	0
576	3.03621857644399	0.732781648682931	1.24424441477256	1.14058679787105	0.103657616901512	-0.407805149188119	1.757157938109	2.66862105147943	2.44629905804687	0.248563545104233	-0.874649219320831	0.112371316144131	0.0254267319657039	0.0366838078604217	0.809213031627393	0.404240552551324	3.40571158833691	0.0661429961477789	0	1	0	0	0
589	3.65105732648558	0.254615770595704	0.0852019232955841	0.180138789172703	-0.0949368658771186	0.0744769814230013	1.06719719867902	0.3194138684648	0.67532310638814	-0.397918624908368	0.279207086269317	0.313354827085679	0.75661807701417	0.516248852054274	0.699856845650393	0.786323016308151	0.413676151073233	0.747283588668239	0	0	0	0	0
618	1.65266591566838	0.546291031581363	-0.524417028800809	1.32444310930278	-1.84886013810359	-0.778152077721416	0.542648099244988	-0.465924979130319	1.1767183256278	-1.83653104611203	-0.691359110518659	0.600397904226802	0.65221174143739	0.269147337143053	0.0990688146341895	0.506579575204142	1.28628259265334	0.336512387016405	0	0	0	0	0
702	3.98925116331369	0.805300004330597	-0.210737304320117	1.39781851662196	-1.60855582094208	-0.592518512291363	1.00873090417628	-0.236104377307705	1.56607806824215	-2.01490122805315	-0.663841719144955	0.339152040602768	0.818576161532778	0.151376066308219	0.0743640821621187	0.523240256111835	1.55404910313504	0.266320499116327	0	0	0	0	0
714	1.69183553960756	0.728090043301482	-0.350395003020146	1.4578334580171	-1.80822846103724	-0.729743414715613	0.425275213396272	-0.183057647408061	0.761619203576441	-1.05618082778589	-0.381241489056523	0.680508645250687	0.858763345020366	0.465551958117802	0.318097035162643	0.711766097293844	0.423063878388655	0.741062860121309	0	0	0	0	0
722	4.85062817868249	0.125225372026308	-0.355940994970677	0.755964830926363	-1.11190582589704	-0.630739458900055	0.147529576980036	-0.375067790563204	0.796587251497668	-1.30995016011424	-0.664632786370009	0.885928649873217	0.716195982218544	0.445959259881382	0.222289875358346	0.5227567269745	0.746016825708803	0.551049942612009	0	0	0	0	0
725	3.28745698243189	0.281304341134602	-0.626336885726253	0.404454358907119	-1.03079124463337	-0.123150017772518	0.415662411258622	-0.82778451955477	0.534538304863767	-1.52312322134968	-0.162758541957466	0.687280270609979	0.428950218914009	0.605771114292542	0.161666680439797	0.874262843072051	0.82733751413392	0.51102850875645	0	0	0	0	0
732	2.38054022947008	0.634280360796144	0.186000513262616	0.946646098467721	-0.760645585205105	-0.312365737671576	0.940705324922641	0.246735405816559	1.25575518676292	-1.12811841041901	-0.414362765433701	0.371136480575467	0.810584925567111	0.240464719132994	0.288111651346006	0.688198068869737	0.672839020605845	0.589746165418544	0	0	0	0	0
749	3.3836454245322	0.530421108175793	1.05356088114515	1.17492036954534	-0.121359488400185	-0.644499261369544	2.12265524403884	3.77105871816221	4.20544629362514	-0.485660073658207	-2.30688572623823	0.0624114148313524	0.00431667100974259	0.00222891070109787	0.638678947553293	0.0461496726881933	6.98998865975202	0.00977649907200078	0	1	1	0	0
786	5.81426123670711	0.702623919284742	-0.145550620307518	1.06096058191581	-1.20651120222333	-0.358336662631069	1.20958605539582	-0.224116016866563	1.63364648786124	-2.07704162331082	-0.551759830060883	0.256899554487101	0.827614222099694	0.136368445609573	0.0672266961649642	0.594391118358033	1.64531562690951	0.246385048182461	0	0	0	0	0
805	2.30519180755671	0.56396997665292	0.432706988177088	1.98753253605144	-1.55482554787436	-1.42356255939852	0.627118174275122	0.430360402507061	1.97675407511773	-1.72892068596651	-1.41584252807584	0.545980533290216	0.676938566518073	0.0790983383329922	0.117488784539153	0.19009955192726	1.75955637500227	0.223837347328472	0	0	0	0	0
854	3.44302878081863	0.366031030818839	0.172168572294769	0.894349297615615	-0.722180725320845	-0.528318266796775	1.47904634356658	0.622246910275293	3.23233258968659	-2.91816450313119	-1.90943332325164	0.172863532529123	0.549039683281795	0.0101273829542071	0.0168752266868808	0.0881588447494927	4.51671040617733	0.0335209188250781	0	0	1	0	0
865	2.26201381987678	-0.786385053618709	-2.34776152102029	-0.319358459865928	-2.02840306115436	-0.467026593752781	-0.672651482325255	-1.79619642216238	-0.24433083082015	-1.73503847709206	-0.357306945037957	0.517870615499576	0.105634445955815	0.812390433511537	0.116362209280638	0.72900219311716	2.20082344910037	0.156789500248606	0	0	0	0	0
877	1.5600575420032	0.869939694840652	-1.99142121312256	0.698223349605674	-2.68964456272823	0.171716345234978	0.799704654475478	-1.6373766709676	0.574089808944315	-2.47249468952261	0.141187778787745	0.444239586611988	0.135580331402419	0.579807789351705	0.0351333027949826	0.890795377823961	2.1957115592112	0.15741677949744	0	0	0	0	0
891	4.26611268430656	0.609687870768271	-0.267578956743487	0.954639086285115	-1.2222180430286	-0.344951215516844	1.25762690704263	-0.493675091146562	1.76128027281931	-2.52111674002773	-0.636424571027261	0.239817110319114	0.633222505556729	0.111641629986978	0.0324264148217951	0.540163751380437	2.30177779762351	0.14499023949305	0	0	0	0	0
951	1.91407970808776	1.36294616344257	1.71581411089347	2.70064177156049	-0.984827660667016	-1.33769560811791	2.54912074167512	2.87029764002659	4.51776544688212	-1.84192500343573	-2.23776254238602	0.0309629748583081	0.0182516780257651	0.00140863431562044	0.0982201869917945	0.0516975004363003	6.98869552648712	0.00978203326811945	0	1	1	0	0
984	2.72865830135296	0.153013764140467	0.123694337076675	0.988596627285331	-0.864902290208655	-0.835582863144863	0.326023869227611	0.23572937744819	1.88400918752565	-1.84283285063682	-1.59240457397348	0.75177315936144	0.818858455081694	0.0918287509508404	0.0980780248361096	0.145361178917957	1.98552303682062	0.185994198133564	0	0	0	0	0
1059	3.57621936647164	-0.128323897204261	-1.35279668043478	-0.30191271374827	-1.05088396668651	0.173588816544008	-0.132872942339937	-1.25287151068952	-0.279611743021574	-1.08813750013559	0.16076657044457	0.897183506662829	0.241465283119897	0.786022135345775	0.304491254894685	0.875786993598149	0.74315054025387	0.552517251927977	0	0	0	0	0
1060	2.21639548641127	0.0239565245342759	0.0164811151000537	0.854805068192364	-0.83832395309231	-0.830848543658088	0.0333705630323388	0.0205338935649254	1.06500538237025	-1.16775462476456	-1.03515784341515	0.974099037560883	0.984060332778835	0.314293973078202	0.272567913078317	0.327299192289099	0.816381796246108	0.516241490513847	0	0	0	0	0
1122	3.98449605820531	0.19652910823177	1.36014342626985	0.197826909056595	1.16231651721326	-0.00129780082482434	0.27073128796035	1.6758736255639	0.243748484837363	1.6011645834755	-0.00159905943119757	0.792633686716143	0.127684164300045	0.812827872321423	0.143407704592562	0.998758615803051	1.55108930580286	0.266997799296877	0	0	0	0	0
1135	2.50125543781518	1.24069063348967	-0.242805392602917	1.26635014021278	-1.5091555328157	-0.025659506723108	1.67101793106523	-0.2924966713407	1.52551472104173	-2.03259852861808	-0.0309108468485606	0.128656580538082	0.776461442571954	0.161077872583073	0.0722607060251356	0.976007474237727	1.64834891317024	0.24575297472971	0	0	0	0	0
1243	4.19669044787602	-0.212353281613876	-1.01999550960459	0.475518525150264	-1.49551403475486	-0.687871806764139	-0.221321038536631	-0.950838976776826	0.443277978809512	-1.55867014063805	-0.641233533617015	0.829725272211129	0.366236600559246	0.667908067528795	0.153108125268667	0.537172286904831	1.2557478211692	0.34578859271376	0	0	0	0	0
1258	2.04668363491597	0.2598954782203	0.0781088193555877	1.39321295139208	-1.31510413203649	-1.13331747317178	0.226198529708298	0.0608045559196482	1.08455991922297	-1.14459329233811	-0.882241803687664	0.826042245530116	0.952828351448211	0.305991633433255	0.281567554427863	0.400332802554861	0.697570944887836	0.576379021756281	0	0	0	0	0
1364	2.39433151599931	1.66863703635816	0.902518822325183	2.4738082343941	-1.57128941206892	-0.805171198035938	2.37146046037928	1.14724261503461	3.1445972734493	-2.23311039569556	-1.02349855530489	0.0414977299120309	0.280526295736251	0.011670088092555	0.0520934772465747	0.332489263268575	3.7890763509897	0.0517391135106346	0	0	1	0	0
1399	5.93482069598802	-0.035695531958809	-0.0445469041025399	0.106025085409255	-0.150571989511795	-0.141720617368064	-0.131795971664178	-0.147112914100557	0.350140140971694	-0.5559458165805	-0.46802204169239	0.898011504854361	0.886248246717857	0.734195199693111	0.591642385935174	0.650767230250487	0.200394938640402	0.893545881068763	0	0	0	0	0
1410	4.63999905367234	0.281995308915029	-0.194288069357254	-0.0906249411215923	-0.103663128235662	0.372620250036621	1.06683375696145	-0.657424661944219	-0.306653267376003	-0.392174341408466	1.26085838787892	0.313510404280506	0.527172519823205	0.766002802138381	0.703949323145783	0.238702416908044	0.638261765767366	0.608932837696254	0	0	0	0	0
1447	2.57869865348858	-0.756928096192715	-0.4046443013961	-0.733023906542881	0.328379605146781	-0.0239041896498344	-1.47276665690376	-0.704202786779948	-1.27568206442755	0.638933256276258	-0.0416004795052133	0.174512867647531	0.498916183541779	0.233643770003979	0.538601980044978	0.967714972903565	0.916979312167299	0.470393950150066	0	0	0	0	0
1486	3.75419457150848	1.16434540109075	0.868104767136293	2.16096325898819	-1.2928584918519	-0.996617857897439	2.98326560404781	1.98942340672233	4.95224891193706	-3.31253961756514	-2.28393503770191	0.0151716711724491	0.0774950583612043	0.000761630560586694	0.00890183451772601	0.047923669189181	8.73884705201397	0.00481585060288484	1	0	1	0	0
1540	4.14400146958626	0.0842644818752576	-0.384032471227593	0.290286486757067	-0.67431895798466	-0.20602200488181	0.168892212761865	-0.688458888591105	0.520399515715294	-1.35154478360052	-0.369337728272938	0.869573146424762	0.508320036687752	0.615198819237125	0.209133618083391	0.720317586997134	0.725127217676876	0.561833594003844	0	0	0	0	0
1601	2.29261606531951	0.576076642425432	-0.524642317982137	1.50280398769491	-2.02744630567705	-0.92672734526948	0.943998942256013	-0.768952569696796	2.20261490253621	-3.32231343382011	-1.35827658030727	0.369538726529491	0.461397081678321	0.0547634229013267	0.00876339363811016	0.207067549951388	4.30152305810546	0.0379567934179569	0	0	0	0	0
1618	3.42585044872943	-0.077388754571531	-0.530533025299333	0.207513640309323	-0.738046665608656	-0.284902394880854	-0.133769305096987	-0.820230719464444	0.32082651667833	-1.27574077311664	-0.440473420478239	0.896494463740992	0.43302767815758	0.755581700180719	0.23362391344665	0.669863978181082	0.807314819760889	0.520597390335442	0	0	0	0	0
