,DKO_Sham_126_Proteins_norm,DFC_Sham_127N_Proteins_norm,DFC_TAC_127C_Proteins_norm,DFC_Sham_128N_Proteins_norm,DKO_TAC_128C_Proteins_norm,DFC_TAC_129N_Proteins_norm,DKO_TAC_129C_Proteins_norm,DKO_TAC_130N_Proteins_norm,DFC_TAC_130C_Proteins_norm,DKO_Sham_131N_Proteins_norm,DFC_Sham_131C_Proteins_norm
0,17919.45517117883,17969.647987079068,26350.763792003756,15889.646320902939,23665.502484775523,24700.003012960806,23750.894349727838,29303.89432482545,24546.878625954138,17278.099256473397,17460.755712979146
1,15144.469949224143,15386.61869817706,17295.184137176642,15831.799950796527,17542.170849037746,18291.26355701251,18351.75742785828,17046.893187668706,17784.375427186806,15199.283458068941,15709.299268372268
2,103837.37669333204,109108.99505264146,93562.04516143247,113949.71976554078,94775.8802276827,85394.51713834431,97538.13820535419,44239.738119038324,96457.01927483201,106347.9957518427,114114.15800142766
3,6888.24633585583,6676.10275703039,45858.930940226084,8016.732575258947,29059.568247719046,45160.33674901195,25460.416883710957,140867.27798607663,42444.472432486815,8930.769617459418,7510.238107489787
4,2193.142694455991,2358.488918438174,2116.9750713040085,2380.3553557173523,2318.5974858527397,2284.3000805740858,2284.8876523753324,1830.629784186086,2350.0463604766114,2353.9734156651407,2372.840407024631
5,46133.77232718943,45295.00890538986,29179.951608603005,40887.70464661239,31639.657636799064,28868.4733263201,29667.63170162671,24965.20239280356,27054.78272679058,47577.71526025023,42163.507653757784
6,929.5010534190596,1001.2625956980722,1139.2634464923588,1028.1395190763476,1128.4588731024521,1206.94734264099,1190.4809890674167,1130.2581030630915,1156.213449488474,983.582651854148,986.4637442081374
7,296.72826541450314,325.80767002873785,365.29174765175134,350.38047405005227,381.0772725794616,403.773069607969,380.5744229148233,362.2425290759937,378.08458794279437,345.85195892611966,312.1619217651326
8,27951.098146106495,29795.508750554935,40540.8296011505,30534.001493215896,36171.60885693761,40084.80829474936,36350.081429828795,46920.4773338383,40952.65378698819,30386.290653213946,28519.608497886322
9,29440.451278095556,32894.349244383615,29698.302167881393,31205.042160611727,32871.63495406572,32003.83002383535,32725.437304737225,31281.01061665583,30733.21007227925,31328.705492331785,28890.4789545953
10,30766.82757646587,30055.808499436556,11960.28140864626,26852.786034948072,16538.68893092103,13360.943515253952,15784.411257750016,9605.703723523251,11605.063880375983,32239.26554575906,26835.68023156083
12,78.25172735666398,71.82439254854914,116.8712035701585,60.807011096109164,84.43223102142571,99.40790963537262,74.93797409241077,145.4930726356085,108.80844247151592,75.56251489389517,81.51488539243617
13,103.66925923528841,105.03680669156618,96.28488572170247,104.07791786862131,92.62744118442488,84.41865415108606,79.14122584438896,101.78193225346418,94.94864086637658,116.20117836624215,109.31012500166031
14,4279.569833721203,4849.0124648804895,4604.0422872468525,5659.265251808108,5680.358960085138,5816.03931200713,6561.63626355952,4851.304396503403,5239.095005454389,5061.524369510258,4316.903608154404
15,36671.025121949635,37996.63183674736,42629.83312847208,36618.91582269677,38584.34342795217,39501.7887116418,39293.678678192715,44651.02021263395,41308.958686694335,37019.070847135496,37258.09329926192
16,42527.24350613442,44986.41871385858,32639.376160410367,45685.195628803725,33785.616550665465,35513.08537204196,35235.73934392579,30317.649595051837,32846.19982608095,43144.608556622254,41580.96575694779
17,345.65939419957044,313.2766057968633,376.1849561993649,233.89063818615776,326.73008939325655,268.0370338335963,302.63412614242816,303.72017583708964,297.9857345104956,296.9585669359522,338.2645025520002
18,75.11023465256433,82.31788536060668,114.37868974994187,77.31827815404144,98.23469024331905,98.99154142747577,96.91497610989663,234.81191114375056,89.99871172168396,94.50605854376525,89.08730643982096
19,89.96092743558084,102.48984241679494,143.91959428584292,110.56855388449813,175.11870137777183,155.8258018053956,149.75585527762217,116.1415837426397,140.3079915741053,106.78232146770341,112.42818072705406
20,252.3665805626718,274.2571131073678,297.2553518925043,349.5833783989797,331.4746847507824,302.699687141009,338.18162667344353,278.3424269788612,327.95530551381637,325.85011674832384,286.68295212334385
21,27233.98103883429,28836.322004676083,23524.99164249147,28946.186956279296,23996.869337813634,22692.171422430223,22128.919545093064,28079.259895937274,23980.69673051302,28941.924822300945,26519.954817538102
22,17223.376545349238,16430.262779407327,19289.472139329984,16669.547480073823,17933.384302608287,19602.927503939558,18481.33767472641,21236.840805208387,19149.74588271647,16617.72097504776,17185.030499547902
23,39508.55460774049,42625.179074003645,31345.946118371277,43411.992702751995,33514.20412987245,32086.791389258797,32972.58850775354,29220.987657737005,31058.64541386486,42360.726836987684,41045.10560871227
24,38391.135172567105,34587.46921568055,24882.67315189615,38877.08780218542,25613.590205890563,29435.879101631537,26133.417535656263,26585.67551651599,28784.82796221651,36176.13606964268,38317.69772205715
25,32282.740601316862,32361.52431810147,37624.12685486364,32455.571366337324,37610.73089424533,38907.83946307695,37198.177540470795,41226.740049969936,39000.58172974486,32231.43413665241,34254.78202456268
