A	Coef.DKO_TACvsDFC_TAC	Coef.DKO_ShamvsDFC_Sham	Coef.DKO_ShamvsDFC_TAC	Coef.DFC_TACvsDFC_Sham	Coef.DKO_TACvsDKO_Sham	t.DKO_TACvsDFC_TAC	t.DKO_ShamvsDFC_Sham	t.DKO_ShamvsDFC_TAC	t.DFC_TACvsDFC_Sham	t.DKO_TACvsDKO_Sham	p.value.DKO_TACvsDFC_TAC	p.value.DKO_ShamvsDFC_Sham	p.value.DKO_ShamvsDFC_TAC	p.value.DFC_TACvsDFC_Sham	p.value.DKO_TACvsDKO_Sham	F	F.p.value	Res.DKO_TACvsDFC_TAC	Res.DKO_ShamvsDFC_Sham	Res.DKO_ShamvsDFC_TAC	Res.DFC_TACvsDFC_Sham	Res.DKO_TACvsDKO_Sham
0	14.3775298188137	0.0146547390071134	0.0426472582317459	-0.517396214905251	0.560043473136997	0.532050953912364	0.162504744910393	0.422984124171707	-5.1316402011641	6.21025879046238	5.27698886367846	0.874334521226463	0.681781686418311	0.000532038148706371	0.000128231473433078	0.000435081130088127	22.6373125345733	0.000122252755986233	0	0	-1	1	1
1	14.0229218807123	-0.0119603572661511	-0.0439762488085211	-0.229314608808053	0.185338359999532	0.217354251541902	-0.23173019884326	-0.762081916436135	-3.97388411431268	3.59090402236759	3.76661832349145	0.821693884116784	0.464628271345142	0.00294388545891666	0.00539855637287495	0.0040781222771336	9.03617342843672	0.00393370699452113	0	0	-1	1	1
2	16.5170929864602	-0.304707946145445	-0.0966557293774315	0.196836414675438	-0.29349214405287	-0.501544360820883	-1.21888641014251	-0.345821548408	0.704254927717023	-1.17402119109449	-1.79446007568876	0.252473827840062	0.737060461528449	0.498280866680571	0.269158248904728	0.104766965260379	2.14298097894397	0.161775171048243	0	0	0	0	0
3	14.3009423349537	0.0818994273744149	0.0878342356828359	-2.50307935667851	2.59091359236134	2.58497878405292	0.155806899608697	0.149456442439029	-4.25917448798211	4.9289992240649	4.39853241553752	0.879466882375614	0.884338513831242	0.00189744730325447	0.000707870148486522	0.00153736947916718	14.8059798341173	0.000658178810017	0	0	-1	1	1
4	11.1374128234177	-0.0762433362923467	-0.0611694309840782	0.0152336271368085	-0.0764030581208868	-0.0914769634291552	-0.834431570851155	-0.598781355803752	0.149120430974114	-0.83617961786443	-0.89545871697216	0.424653259226381	0.563412048672455	0.8845964226152	0.423717095891842	0.392805847520246	0.940351409264483	0.459123159445537	0	0	0	0	0
5	15.0880779822697	0.0133954651759733	0.132383277895578	0.724602642622184	-0.592219364726606	-0.711207177446211	0.152176569638731	1.34514194129938	7.36266257235519	-6.72779259352411	-7.22655171063722	0.88225118322148	0.21000557245495	3.3095298322935e-05	6.84295878470248e-05	3.85224502054834e-05	32.4956589398788	2.69325611414197e-05	0	0	1	-1	-1
6	10.0716264258192	-0.0221070698934724	-0.072074825846018	-0.287633997732714	0.215559171886696	0.265526927839241	-0.413160334783345	-1.20480297576445	-4.80809065206426	4.02859809334681	4.4385488143914	0.688718250693791	0.25761869106342	0.000841729930963138	0.00270374054206753	0.00144795954090518	12.0660658487601	0.00141589541312543	0	0	-1	1	1
7	8.4648612355662	-0.0286949277312729	-0.0387640097589923	-0.25411913729209	0.215355127533098	0.225424209560817	-0.380193342178515	-0.459381032778334	-3.01149216667141	2.8533469907595	2.67143690358981	0.712216910145738	0.656358233812106	0.013929639904796	0.0181248831909914	0.0245666055931646	5.1060365346946	0.023062488430604	0	0	0	0	0
8	15.0865499656313	-0.036451358307124	-0.0226591405885621	-0.475633274974399	0.452974134385837	0.439181916667275	-0.376536227761856	-0.209354103881581	-4.39450815309345	4.67914447517312	4.05772391258671	0.714843995102901	0.838620970231649	0.00154668057566373	0.00101485578580579	0.00258442269616949	12.7998464752207	0.00113902483538826	0	0	-1	1	1
9	14.927390951822	0.068039773656265	-0.0274285458728247	-0.0201653569914075	-0.00726318888141719	0.0882051306476725	1.05847086861845	-0.381648734935895	-0.28058662026726	-0.112990879174473	1.2273117460409	0.316177020940719	0.711172534225854	0.785081108063731	0.91240470093916	0.249436000056516	0.630780400763114	0.61257350017638	0	0	0	0	0
