A	Coef.DKOvsDFC	Coef.TACMIvsSham	Coef.DKOvsTACMI	Coef.DFCvsSham	t.DKOvsDFC	t.TACMIvsSham	t.DKOvsTACMI	t.DFCvsSham	p.value.DKOvsDFC	p.value.TACMIvsSham	p.value.DKOvsTACMI	p.value.DFCvsSham	F	F.p.value	Res.DKOvsDFC	Res.TACMIvsSham	Res.DKOvsTACMI	Res.DFCvsSham
11	4.27105888887131	-0.308952276797898	0.428073078600124	-0.696371898728652	0.0406534566693697	-1.70484799817328	2.6409926129249	-4.29625952280179	0.224332265616987	0.120906826530407	0.0258888519903172	0.0018011287907549	0.827288575730054	6.26277598436225	0.0128072483834509	0	0	-1	0
12	7.85594498269726	-0.0614501076559186	0.0279541434595014	-0.177311135326087	-0.0879068842106667	-0.592321180102084	0.301256072860799	-1.91084575280273	-0.847339595990835	0.567577573939634	0.769762658907822	0.0868855400440412	0.417810650700538	1.50234699673497	0.276501218082013	0	0	0	0
13	14.8670484518385	0.104026316615439	-0.560567865918047	0.63830469729761	-0.0262894852358766	1.25629107374987	-7.56885626489418	8.61846852234428	-0.317489330679706	0.239267090042894	2.66647533833909e-05	9.03613658939863e-06	0.757796219532709	30.6836343140879	3.47894638701787e-05	0	-1	1	0
14	14.9487028671111	-0.0400095397518392	0.0108163238788297	-0.19618944896933	-0.145363585338661	-0.802526558933364	0.2425663470777	-4.3997349288718	-2.91575805819384	0.442021643851327	0.813539849934935	0.00154130723557477	0.016363822935948	9.54513200427721	0.00327653112476331	0	0	-1	0
15	6.77073910293744	0.158506185897685	0.129546313340674	0.396041806257307	0.367081933700296	1.83947178455692	1.68084234120116	5.13857800871945	4.26000320327024	0.0975131843830945	0.12558194321398	0.000529949540346673	0.00190285507308634	18.1836128279214	0.000298142183829762	0	0	1	1
16	5.17619025209336	0.126946643427079	-0.119819497500472	0.6338642829095	0.38709814198195	1.41084155734594	-1.48881083852696	7.87604717293253	4.30207629548903	0.190446668085949	0.169227292451651	1.92073659772342e-05	0.00178535310580643	27.01387444526	5.94558899736655e-05	0	0	1	1
17	13.8856679492025	-0.0794744974685333	0.169585430147453	-0.195909112010096	0.0531508156058909	-1.40210406382244	3.34499907035967	-3.86422228005653	0.937696706871319	0.1929615700699	0.00806116828590891	0.00350736998406151	0.371814888357409	5.86874855502488	0.0155367274828427	0	1	-1	0
18	14.6958592056188	-0.030098135882767	-0.285383795660401	0.113037160338893	-0.142248499438741	-0.351741150475577	-3.72878976247721	1.47692970890583	-1.66238371176519	0.732771706735228	0.0043442922421767	0.172321807797608	0.129287607539995	4.70797069179106	0.0288439166619184	0	-1	0	0
19	11.7064109051168	0.0548505139056967	0.109794871709386	0.217287512387651	0.272231870191341	0.347715416321693	0.778180434279663	1.54004361151701	1.72576720506868	0.735696484732474	0.45556071689169	0.156433632659385	0.116962575786319	2.14868184092316	0.161155051989007	0	0	0	0
20	8.99452362926383	-0.288393296070172	0.0930750622137264	-0.476073308040355	-0.0946049497564569	-2.33071350763998	0.84099240590001	-4.30162523871608	-0.764570596097783	0.0434849967759915	0.421183647397771	0.00178657115577996	0.463246708521883	6.93061808560002	0.00938709635044223	0	0	-1	0
21	6.3026117308256	-0.203993899723531	-0.113216456651934	0.0322130766474222	0.122990519719019	-1.10598266848148	-0.686271093074222	0.195262278787564	0.666811033962862	0.296174381609693	0.509077877259966	0.849334012723774	0.520887230080318	0.637586557714096	0.608741100660648	0	0	0	0
22	14.2100449249477	-0.0322214850348583	-0.183297105131631	0.0765287508820673	-0.0745468692147053	-0.532586160913928	-3.38730994626106	1.41424273368422	-1.23217880368521	0.606651419074733	0.00752418830401345	0.189475335040464	0.247747181045536	3.92020260384052	0.0461343311292758	0	-1	0	0
23	8.98779627082987	0.127550420607564	0.122636995777086	0.0679658449306153	0.0630524201001368	1.04331306793536	1.12152578188638	0.621553446367277	0.51574438988186	0.322833970202379	0.289834608049827	0.548978321080532	0.617917475204675	1.09257594672067	0.39907270151362	0	0	0	0
24	9.47197819977984	-0.175791648808003	-0.0111909904733274	-0.238942651627889	-0.0743419932932134	-0.871117228270446	-0.0620014570923938	-1.32381424126479	-0.368394014054756	0.405340263467428	0.951857178834939	0.216784496706975	0.720721542359914	0.81888876949393	0.514093153321952	0	0	0	0
25	13.7312256225693	-0.159119939494996	0.637725330583716	-0.640990619468891	0.155854650609822	-2.03573844043607	9.12191553482587	-9.16862167613612	1.9939631976615	0.0708631912088459	5.57717003519243e-06	5.33888154172939e-06	0.0758819853197493	37.4025168862242	1.49187549982865e-05	0	1	-1	0
26	13.9328511493726	-0.00706641057563751	0.0482584072630594	-0.115141349672683	-0.0598165318339863	-0.138887804589308	1.06045742280703	-2.53018087121751	-1.17567281091918	0.892462456862415	0.315364749229684	0.0311623623083631	0.268579417843681	2.65717900813184	0.108999291106907	0	0	0	0
27	14.7549056277867	-0.0425608094735459	0.254949033302525	-0.147588126232803	0.149921716543268	-0.753606689075172	5.0471154768992	-2.92173814690339	2.65460196415822	0.469499371493559	0.000602247607185063	0.0162017856511279	0.0253061092662501	8.68269935323605	0.00452199396685448	0	1	-1	0
28	14.9677711587701	0.0874946577106801	-0.226468012802282	0.346355772475324	0.0323931019623611	1.35016971154896	-3.90722751415022	5.97563773865861	0.499872635393582	0.208501730717328	0.00327855903392582	0.000173668546497314	0.628631493085859	12.7777694328242	0.00115369660391323	0	-1	1	0
29	13.9583681883463	-0.0625101254805269	0.148378404764982	-0.352590051546999	-0.14170152130149	-1.14516886607718	3.03909912628438	-7.22177947181936	-2.59593416623023	0.280395800173394	0.0133329093882997	3.91000080549764e-05	0.0279159793528222	19.8413506939386	0.000210581047845493	0	1	-1	0
30	6.15169169412862	-0.590765359408061	0.219613669744492	-1.01727707347457	-0.206898044322021	-2.67044118720194	1.10989621791255	-5.14117348766218	-0.935242817322029	0.0246444505677527	0.294568001124568	0.000528039038129234	0.373014060899315	9.76070578206183	0.00303301084920078	0	0	-1	0
31	14.7141810589992	0.0780991395447579	-0.360831007857191	0.473023116984701	0.0340929695827512	1.08685697617524	-5.61416285081333	7.35975776228874	0.474450577119457	0.304123153014604	0.000277823428203217	3.35275600179196e-05	0.645983137999987	20.9226887906637	0.000170056658720421	0	-1	1	0
32	13.570706980147	-0.0221573749705009	-0.237611308266851	0.0347334071345209	-0.18072052616183	-0.40843692709168	-4.89698534970887	0.715828666252713	-3.33130330042254	0.69208060890145	0.000744862959746465	0.491457038896816	0.00824337913918009	9.50516628072593	0.00332424316371652	0	-1	0	0
33	14.1209335420864	0.237289613442652	-0.628425112086241	0.9292974903311	0.0635827648022076	2.47243273091088	-7.32072837398726	10.8256884941422	0.662498903926023	0.0343222029820656	3.50104042767723e-05	1.2638729215159e-06	0.523526181183923	42.1559229415614	8.8812335460085e-06	0	-1	1	0
34	5.12013372323847	-0.0562270143397958	0.359062725913479	-0.418143039910554	-0.00285329965727854	-0.270902718244193	1.93416566660295	-2.25241400222328	-0.013747246625096	0.79230788636077	0.0836553147715016	0.0495378819491837	0.989318361071481	2.0928644810918	0.168520392403975	0	0	0	0
35	14.0718816605105	0.031063524901688	-0.275547684285307	0.361963276839591	0.0553520676525956	0.411126782242764	-4.0773388558424	5.35604912403467	0.732586451039201	0.690174325765603	0.00251669039296137	0.000392882712086123	0.481638277415698	11.5487763194328	0.00167070782534564	0	-1	1	0
36	7.88611694792857	-0.495503300386162	-0.120432066182644	-1.02835963738062	-0.653288403177104	-2.67713124075725	-0.727478653724489	-6.21188117300664	-3.52962087640353	0.024370232925339	0.484617814958895	0.000128965005508304	0.0059752422302044	20.096858195722	0.000200033789685069	0	0	-1	0
37	12.8440205107353	-0.0734960999398755	0.31114251258469	-0.415452875401597	-0.0308142628770316	-0.822090952955003	3.89107799293718	-5.19555983253048	-0.344673074542842	0.431338124767442	0.00336258372141112	0.000489661481074456	0.737909779086632	10.3072951547516	0.00250726159153827	0	1	-1	0
38	13.5944090561468	-0.0488439915517649	0.94023287290285	-1.10231822576393	-0.113241361309312	-0.448354800408026	9.64941787361208	-11.3128667340201	-1.03947909117872	0.664031227923728	3.44126048164833e-06	8.57722159730688e-07	0.324522569752485	55.0644050271508	2.74410731008032e-06	0	1	-1	0
39	13.9628600274415	0.0162056137593094	-0.073081291354093	0.0421439609457721	-0.0471429441676303	0.300790062440981	-1.51655868084087	0.874557477476068	-0.875013395385124	0.770107144958617	0.162188677786002	0.403557646805503	0.403321817223308	0.797009916763638	0.524688113150877	0	0	0	0
40	12.7216140506407	-0.00709656885023158	-0.115055801073655	-0.0712135073459255	-0.179172739569349	-0.109337055276712	-1.98190338533826	-1.22669426464075	-2.76051992784295	0.915228721358738	0.0773924783076288	0.249709907641411	0.0211992782237292	4.16388760891006	0.0397026964381821	0	0	0	0
41	11.574456574477	-0.0691080022127526	-0.221049187393767	0.232283549848038	0.0803423646670236	-1.32560476548508	-4.74055999702088	4.9814890403287	1.54109825292118	0.21621317159875	0.000932724539638822	0.000660615799681097	0.156179467940984	14.298443510681	0.000756997547928184	0	-1	1	0
42	13.507161964029	0.049125150143519	-0.185604424142328	3.36647380268851	3.13174422840267	0.454904501783562	-1.92158532972292	34.8535154915389	29.0003092870549	0.659479372411787	0.0853836190305396	2.80270418988031e-11	1.56115847849638e-10	689.159089766239	2.40925926594181e-11	0	0	1	1
43	8.77175016681493	-0.443495464454021	1.68146910772832	-1.57843977612346	0.546524796058877	-3.04340195783374	12.9007224623979	-12.1102513164152	3.75042084450158	0.0132382006312593	2.66542535636583e-07	4.68859773278279e-07	0.00419766868229192	69.7636571664224	9.54462243234713e-07	0	1	-1	0
44	3.4989267019544	-0.0327510364933077	-0.192534086175213	-0.19327176335831	-0.353054813040214	-0.130888815368172	-0.860280586743691	-0.86357667510139	-1.41097599302873	0.898615713896683	0.410991223006204	0.409266671266439	0.190408194057762	1.17705568000298	0.369479649308101	0	0	0	0
45	15.3387755984557	-0.0112859018498046	0.239819184319799	-0.443888583532857	-0.192783497363253	-0.070953259678226	1.68567952323104	-3.12007522659059	-1.21200926006	0.944918369241558	0.12462690122621	0.011661549935963	0.255027480056964	4.00478274239853	0.0437690449620783	0	0	-1	0
