,TAC-MI_126_Proteins_norm,DKO_127N_Proteins_norm,Sham_127C_Proteins_norm,DKO_128N_Proteins_norm,DFC_128C_Proteins_norm,Sham_129N_Proteins_norm,DKO_129C_Proteins_norm,TAC-MI_130N_Proteins_norm,Sham_130C_Proteins_norm,DFC_131N_Proteins_norm,TAC-MI_131C_Proteins_norm
11,21.26467906164672,15.874786576178124,20.260064862881183,14.761879568732617,20.251430046892917,14.303158266446694,15.811599236698113,25.72444595296871,22.33832234887001,18.14550292793886,28.8208627983003
12,233.80923564416366,238.7426003523548,235.85358117549728,182.99850705040436,224.68612474440675,236.65225495393622,231.04699384625118,252.498251789287,246.72176922632545,226.36307762159348,247.2211725847282
13,24560.19314603221,35258.25572952572,34246.666706400116,33640.24955406173,30451.953154607425,32440.035779979335,35123.88654440119,21421.24924305753,31902.124984352635,34164.08777295448,20999.040196711765
14,33874.73597923717,29408.17516130777,32898.93195682584,28808.234974898154,30657.522627712737,33276.00218708935,29613.643032907126,33404.56947017459,33695.52552039102,29548.501535037758,33340.452770684285
15,97.32680032061383,133.29499566478057,88.85800187144086,139.68886038180864,123.16710256968064,102.24985041716026,125.20810145560318,104.8911910628429,86.01921143296212,114.59009383260022,100.22479969651144
16,28.932231607913565,44.60903713864579,31.931623968671435,51.72757799291429,43.1215794964013,33.216425395632406,41.20898051064446,29.901108764520828,30.784653187248715,40.516670921288146,29.419219811413804
17,16037.146203669885,14722.312545131004,14354.366064399488,14216.422018717712,15099.88523806778,14329.164008749325,14172.825798309583,16287.56110273113,15233.179938880168,15264.7593398175,17067.23626354295
18,26157.90662860632,25809.29896431722,29028.92924087103,25665.418614814513,28282.518710834025,30095.263487638535,26977.94826264478,24905.725117749687,29271.75974379017,25197.557928864582,21684.458155233282
19,3084.2985702443266,3278.365142877098,2692.386445799841,4181.759884111139,4128.236556929771,3281.5700548332784,3784.5062773036934,3716.185736578495,2974.5532222263964,3122.9321956938065,2880.989291972656
20,614.7332461427005,448.6622641837158,551.4261132245053,356.48109173418766,524.7040776373851,524.0157073980016,457.05404043580484,506.705138365118,561.0141851596806,496.9713541633666,631.5658273413004
21,78.9246742095734,69.97322127712035,74.65393465779046,98.08719977901674,77.86325690443311,74.58919724072615,64.53108938477418,75.9393238464021,94.13213447508903,99.01313241500885,69.11023501460937
22,18971.87638224503,18571.017087289674,20499.55204264622,18583.01039494976,19452.196885214682,19770.392753896496,19153.973670345636,17328.119687736456,20364.437059127322,18933.79660308229,17148.911995832943
23,460.35985487786144,483.4271599259607,439.44521123781965,597.5511250219204,529.941516442616,496.3550542215675,550.4412984275531,584.4480211528722,490.4428682863848,464.0774515953679,513.0911387448272
