A	Coef.DKOvsDFC	Coef.TACMIvsSham	Coef.DKOvsTACMI	Coef.DFCvsSham	t.DKOvsDFC	t.TACMIvsSham	t.DKOvsTACMI	t.DFCvsSham	p.value.DKOvsDFC	p.value.TACMIvsSham	p.value.DKOvsTACMI	p.value.DFCvsSham	F	F.p.value	Res.DKOvsDFC	Res.TACMIvsSham	Res.DKOvsTACMI	Res.DFCvsSham
3963	3.59149044969107	-0.121534023714242	-0.161665646611914	0.201106598368839	0.160974975471167	-0.563755968373092	-0.838428487847885	1.04297669109247	0.746709443225222	0.586882310762135	0.423798237060706	0.324538769470268	0.47455699388075	0.805211885148239	0.522335758776194	0	0	0	0
3980	2.36328564717011	-0.162086810910845	0.662784451019271	-0.416552289471313	0.408318972458802	-0.113889746205874	0.520672050393166	-0.327236304837046	0.286903936742609	0.911860274167126	0.615336075145579	0.751076492440832	0.780772166096235	0.0948446028743683	0.960946244475343	0	0	0	0
3990	4.4712834268346	-0.00424438989678944	0.0539926271397473	0.812546937282055	0.870783954318592	-0.0146843620691315	0.208847498739068	3.14299200556074	3.01266075458256	0.988608838957137	0.839282519054435	0.0120779562548276	0.0148851794466517	6.43182555794179	0.0131695020316364	0	0	1	0
3993	6.32353464984421	-0.344204015773306	1.27841352013302	-0.621391045736253	1.00122649017007	-0.370928549898315	1.54028359636285	-0.748676715007458	1.07896326916522	0.719391037285932	0.158354998876503	0.473428228832953	0.309057112606727	0.857959780788432	0.497552308565436	0	0	0	0
3997	4.1815781245605	0.0952216339328551	-0.181459041938452	0.677754318067002	0.401073642195695	0.456864719241121	-0.973387157996219	3.63562676422964	1.92431477353096	0.658745895632307	0.356145625854469	0.00556751022855625	0.086918085257544	5.6404145816597	0.0191490029716855	0	0	1	0
4000	4.4225793409666	1.15329556896824	1.29339069467101	0.476585202693061	0.616680328395826	1.20400575819876	1.50963751305125	0.556267261790984	0.64379564643669	0.25971931949011	0.165890260355427	0.59177638097191	0.535990222316627	1.60467836991889	0.256617199034936	0	0	0	0
4004	3.09623357653963	0.682268688268928	-0.512367984078727	1.41110047075935	0.216463798411694	0.476299171747139	-0.399909183065545	1.10138036337194	0.151115725621707	0.645369711897945	0.698678653236084	0.299706825471887	0.883263876632958	0.416153518575946	0.745753823351704	0	0	0	0
4008	4.52838921896819	0.512975534070332	0.810170681467413	0.489970230353541	0.787165377750622	1.94048953513494	3.42646406895696	2.07223666267971	2.97769791441203	0.0847023214466414	0.00770941548303014	0.0685553534564439	0.0157472054122285	10.3279385534407	0.00296405796583114	0	0	0	0
4017	4.88119174732797	0.733754012525275	0.414190607574968	1.19331173618211	0.873748331231798	3.30718134702672	2.08719378773423	6.01334940251833	3.93816474420437	0.00930296862803197	0.0669211424991754	0.000210869332800791	0.00351123532893705	23.9544883332499	0.000136428935006649	1	0	1	0
4019	2.24677378766135	0.213162657988457	0.175979286223718	1.54822608393852	1.51104271217378	0.30286805027806	0.279549611597356	2.45941445562914	2.14693588662104	0.768969983790787	0.786229458942291	0.0365499677616129	0.0607614107012805	3.73543014165733	0.0548129355225958	0	0	0	0
4029	5.86717416682116	-0.0340420440128764	1.9370830817893	-0.604795735350391	1.36632939045179	-0.0253575139065048	1.61322260195977	-0.503680073925839	1.01776252055084	0.980330869458732	0.141634147640395	0.626751891980664	0.335735283531354	0.927568568119638	0.466736336526882	0	0	0	0
