,TAC-MI_126_Acetyl_norm,DKO_127N_Acetyl_norm,Sham_127C_Acetyl_norm,DKO_128N_Acetyl_norm,DFC_128C_Acetyl_norm,Sham_129N_Acetyl_norm,DKO_129C_Acetyl_norm,TAC-MI_130N_Acetyl_norm,Sham_130C_Acetyl_norm,DFC_131N_Acetyl_norm,TAC-MI_131C_Acetyl_norm
64,2.5558508487556155,4.611669843359008,2.3122900115244835,10.247916394822644,5.062857511723229,5.792188058313124,5.8305272185324295,5.980221752904165,6.223612196700101,4.805658309682438,7.1802841573620135
75,6.338510104913926,7.0061907235646474,10.460359575944091,6.953943267915365,8.118030148107938,9.338425645035446,6.423462189908609,9.302567171184258,9.891097955469805,10.854159285662059,25.330446888471545
208,8.383190783918417,14.455811239759969,8.148069564419608,14.39588255463181,5.76118268575402,7.447098932116874,10.475184494312499,6.739614991368186,10.446777615889456,8.451330130820839,9.773164547520519
224,30.261274049266486,63.676518221764766,30.940642535160944,41.47966159809165,38.407884571693465,26.478573980859995,56.03235479504894,23.92088701161666,34.785546742270206,42.91950007612936,27.12551792781205
231,6.849680274665049,26.605787557840433,5.1751252638881295,27.44977605756065,11.784237311769587,7.092475173444642,20.06096653156073,9.302567171184258,7.2238355854554746,7.622768353289384,10.27179539178177
251,6.542978172814376,4.700355801885143,2.422399059692316,16.95786165333747,6.983251740307903,6.265019736542767,8.894024570642689,6.3599183721361765,2.4449905058464685,4.805658309682438,2.8920588967152554
252,6.849680274665049,7.183562640616917,1.9819628670209857,11.46790644182534,6.372217213030962,4.610108862739017,8.992847065872052,6.17007006252017,2.111582709594677,2.56854151034751,13.662485132758274
255,9.814467259221562,21.462001963324617,9.028941949762267,25.741789991756878,16.49793223647742,8.156346449461338,19.270386569725826,12.529988434656346,11.113593208393038,15.245536706578768,16.753996367178033
830,20.54904082399515,31.39482931825171,22.792572970741332,33.79372430197467,22.084533628723744,27.18782149820446,36.07021075871757,19.079755116408528,25.783536243471847,33.63960816777707,133.23416158660623
872,6.747446240714824,8.513852018508938,5.615561456559459,9.637921371321296,8.816355322138728,9.811257323265089,12.253989408441038,6.6446908365601836,5.77906846836438,6.959918931264221,8.975355196702516
956,8.383190783918417,7.538306474721456,8.368287660755271,13.66388852643019,5.412020098738625,2.127742552033393,7.7081546278903295,12.529988434656346,7.1126996533715445,10.191309863636896,74.59517430148314
1038,9.09882902156999,16.318216368808798,9.1390509979301,13.053893502928842,7.070542387061751,2.364158391148214,14.032794322569574,5.505600978864152,8.668602702546568,8.865611019586566,36.89868247533257
1054,5.8273399351628035,11.972604401028194,6.386324793734286,16.347866629836123,6.372217213030962,5.555772219198303,13.24221436073467,5.695449288480157,8.89087456671443,7.705624531042531,21.141947796677037
1207,9.303297089470439,22.4375475071121,14.75461245448956,16.71386364393693,12.482562485800377,9.102009805920623,17.59040415082665,6.3599183721361765,13.558583714239505,15.908386128603933,9.773164547520519
